location,sample date,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Calcium,Magnesium,Chlorides,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),day,month,year
Decha,10-Apr-15,13.27375,10.912323232323232,0.424,0.024,0.591,0.045,0.129,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,10.0,4.0,2015.0
Decha,10-Dec-14,13.27375,12.4,0.5429999999999999,0.081,0.7170000000000001,0.02,0.10800000000000001,53.81873255813954,13.078590361445785,73.723625,2.9,35.1,3.8,10.0,12.0,2014.0
Decha,10-Jul-15,13.27375,10.912323232323232,0.055,0.013999999999999999,0.375,0.0,0.018000000000000002,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,10.0,7.0,2015.0
Decha,10-Jul-16,13.27375,10.912323232323232,0.10300000000000001,0.01,0.1,0.018000000000000002,0.14906344827586204,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,10.0,7.0,2016.0
Decha,10-Oct-09,13.27375,10.912323232323232,0.059000000000000004,0.039,0.413,0.016,0.07,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,10.0,10.0,2009.0
Decha,11-Apr-16,13.27375,9.99,0.047,0.019,0.317,0.022000000000000002,0.157,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,11.0,4.0,2016.0
Decha,11-Mar-13,13.27375,10.912323232323232,0.23800000000000002,0.018000000000000002,0.627,0.017,0.11800000000000001,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,11.0,3.0,2013.0
Decha,12-Dec-09,6.0,14.0,0.113,0.026000000000000002,1.083,0.031,0.086,54.2,15.2,54.0,3.9,18.56,11.0,12.0,12.0,2009.0
Decha,12-Jul-13,22.5,9.0,0.2610067567567568,0.013999999999999999,0.359,0.042,0.22899999999999998,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,3.0,12.0,7.0,2013.0
Decha,12-Jun-15,13.27375,10.912323232323232,0.348,0.027000000000000003,0.865,0.008,0.034,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,12.0,6.0,2015.0
Decha,12-Jun-16,13.27375,9.7,0.055,0.006,0.226,0.032,0.10099999999999999,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,12.0,6.0,2016.0
Decha,12-Mar-15,13.27375,10.912323232323232,0.373,0.022000000000000002,0.9259999999999999,0.033,0.11199999999999999,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,12.0,3.0,2015.0
Decha,12-Oct-13,14.0,10.912323232323232,0.2610067567567568,0.013999999999999999,0.461,0.039,0.16699999999999998,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,12.0,10.0,2013.0
Decha,12-Sep-16,13.27375,10.912323232323232,0.02,0.009000000000000001,0.25,0.01,0.069,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,12.0,9.0,2016.0
Decha,13-Dec-13,6.5,12.5,0.752,0.019,0.505,0.015,0.062,53.18,8.32,77.21,4.6,28.2,5.3,13.0,12.0,2013.0
Decha,13-Dec-14,13.27375,10.912323232323232,0.609,0.019,0.6759999999999999,0.039,0.18,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,13.0,12.0,2014.0
Decha,13-Mar-16,13.27375,10.912323232323232,0.11599999999999999,0.017,0.462,0.039,0.12300000000000001,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,13.0,3.0,2016.0
Decha,13-May-16,13.27375,10.912323232323232,0.051,0.0,0.45399999999999996,0.036000000000000004,0.113,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,13.0,5.0,2016.0
Decha,13-Oct-11,11.0,8.7,0.14800000000000002,0.037000000000000005,0.6559999999999999,0.0256,0.05,67.5,13.078590361445785,73.723625,3.8,24.6,3.8,13.0,10.0,2011.0
Decha,14-Feb-15,5.2,12.3,0.606,0.018000000000000002,1.136,0.023,0.096,57.8,27.53,52.81,2.7,31.2,2.8,14.0,2.0,2015.0
Decha,14-Jan-15,13.27375,10.912323232323232,1.095,0.019,1.156,0.015,0.387,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,14.0,1.0,2015.0
Decha,14-Jan-16,13.27375,10.912323232323232,0.39,0.019,0.972,0.036000000000000004,0.071,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,14.0,1.0,2016.0
Decha,14-May-15,13.27375,10.912323232323232,0.0,0.012,0.392,0.0136,0.057999999999999996,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,14.0,5.0,2015.0
Decha,14-Nov-15,13.27375,10.912323232323232,0.125,0.0,0.62,0.025,0.122,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,14.0,11.0,2015.0
Decha,14-Oct-15,13.27375,10.912323232323232,0.075,0.019,0.316,0.0,0.134,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,14.0,10.0,2015.0
Decha,14-Oct-16,16.5,9.1,0.09,0.019,0.61,0.028999999999999998,0.132,36.8,11.75,47.73,1.6,45.9,3.5,14.0,10.0,2016.0
Decha,15-Apr-11,9.2,10.1,0.06,0.08,0.721,0.098,0.125,50.8,13.5,38.9,2.7,16.56,5.1,15.0,4.0,2011.0
Decha,15-Apr-16,10.4,10.9,0.052000000000000005,0.024,0.36,0.024,0.222,51.78,10.16,47.73,2.8,38.6,3.1,15.0,4.0,2016.0
Decha,15-Dec-12,3.0,12.63,0.171,0.013000000000000001,0.716,0.034,0.13699999999999998,42.85,9.14,19.35,2.59,25.76,9.142999999999999,15.0,12.0,2012.0
Decha,15-Jun-13,21.0,10.912323232323232,0.04,0.021,0.546,0.013000000000000001,0.069,53.81873255813954,13.078590361445785,73.723625,3.612173913043478,26.226881720430107,7.172734042553191,15.0,6.0,2013.0
Decha,15-May-14,15.0,12.8,0.0,0.02,0.474,0.015,0.063,53.81873255813954,13.078590361445785,73.723625,2.8,12.5,3.0,15.0,5.0,2014.0
Decha,15-Sep-11,19.5,9.4,0.046,0.078,0.541,0.0,0.062,44.2,12.2,92.2,1.9,18.4,3.42,15.0,9.0,2011.0
Decha,16-Aug-14,15.0,7.6,0.11199999999999999,0.016,0.591,0.0105,0.084,53.81873255813954,13.078590361445785,73.723625,4.6,69.1,5.3,16.0,8.0,2014.0
Decha,16-Dec-10,3.4,12.0,0.19699999999999998,0.016,0.725,0.03,0.109,66.6,21.2,66.6,3.9,15.4,8.8,16.0,12.0,2010.0
Decha,16-Dec-16,6.0,12.6,0.272,0.02,0.905,0.039,0.122,55.55,15.88,56.58,4.0,21.0,5.7,16.0,12.0,2016.0
Decha,16-Feb-14,1.0,12.3,0.966,0.012,0.95,0.015,0.102,52.32,7.8,87.81,3.7,14.7,3.8,16.0,2.0,2014.0
Decha,16-Jul-10,19.3,10.6,0.183,0.01,0.634,0.022000000000000002,0.212,58.9,3.82,76.4,5.3,16.77,8.3,16.0,7.0,2010.0
